Theme_Name,Theme_URL,Image_URL
Bespin,https://raw.github.com/geany/geany-themes/master/colorschemes/bespin.conf,https://raw.github.com/geany/geany-themes/master/screenshots/bespin.png
Black Scheme,https://raw.github.com/geany/geany-themes/master/colorschemes/black.conf,https://raw.github.com/geany/geany-themes/master/screenshots/black.png
Cyber Sugar,https://raw.github.com/geany/geany-themes/master/colorschemes/cyber-sugar.conf,https://raw.github.com/geany/geany-themes/master/screenshots/cyber-sugar.png
Darcula,https://raw.github.com/geany/geany-themes/master/colorschemes/darcula.conf,https://raw.github.com/geany/geany-themes/master/screenshots/darcula.png
Dark,https://raw.github.com/geany/geany-themes/master/colorschemes/dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/dark.png
Dark Colors,https://raw.github.com/geany/geany-themes/master/colorschemes/dark-colors.conf,https://raw.github.com/geany/geany-themes/master/screenshots/dark-colors.png
Dark Fruit Salad,https://raw.github.com/geany/geany-themes/master/colorschemes/dark-fruit-salad.conf,https://raw.github.com/geany/geany-themes/master/screenshots/dark-fruit-salad.png
Delt Dark,https://raw.github.com/geany/geany-themes/master/colorschemes/delt-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/delt-dark.png
Earthsong,https://raw.github.com/geany/geany-themes/master/colorschemes/earthsong.conf,https://raw.github.com/geany/geany-themes/master/screenshots/earthsong.png
Epsilon,https://raw.github.com/geany/geany-themes/master/colorschemes/epsilon.conf,https://raw.github.com/geany/geany-themes/master/screenshots/epsilon.png
Evg-EGA-Dark,https://raw.github.com/geany/geany-themes/master/colorschemes/evg-ega-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/evg-ega-dark.png
Fluffy,https://raw.github.com/geany/geany-themes/master/colorschemes/fluffy.conf,https://raw.github.com/geany/geany-themes/master/screenshots/fluffy.png
Gedit,https://raw.github.com/geany/geany-themes/master/colorschemes/gedit.conf,https://raw.github.com/geany/geany-themes/master/screenshots/gedit.png
GitHub,https://raw.github.com/geany/geany-themes/master/colorschemes/github.conf,https://raw.github.com/geany/geany-themes/master/screenshots/github.png
Hacker,https://raw.github.com/geany/geany-themes/master/colorschemes/hacker.conf,https://raw.github.com/geany/geany-themes/master/screenshots/hacker.png
Himbeere,https://raw.github.com/geany/geany-themes/master/colorschemes/himbeere.conf,https://raw.github.com/geany/geany-themes/master/screenshots/himbeere.png
InkPot,https://raw.github.com/geany/geany-themes/master/colorschemes/inkpot.conf,https://raw.github.com/geany/geany-themes/master/screenshots/inkpot.png
Kary Pro Colors - Bare Dark,https://raw.github.com/geany/geany-themes/master/colorschemes/kary-pro-colors-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/kary-pro-colors-dark.png
Kary Pro Colors - Bare Light,https://raw.github.com/geany/geany-themes/master/colorschemes/kary-pro-colors-light.conf,https://raw.github.com/geany/geany-themes/master/screenshots/kary-pro-colors-light.png
Kugel,https://raw.github.com/geany/geany-themes/master/colorschemes/kugel.conf,https://raw.github.com/geany/geany-themes/master/screenshots/kugel.png
Metallic Bottle,https://raw.github.com/geany/geany-themes/master/colorschemes/metallic-bottle.conf,https://raw.github.com/geany/geany-themes/master/screenshots/metallic-bottle.png
Monokai,https://raw.github.com/geany/geany-themes/master/colorschemes/monokai.conf,https://raw.github.com/geany/geany-themes/master/screenshots/monokai.png
Notepad-plus-plus,https://raw.github.com/geany/geany-themes/master/colorschemes/notepad-plus-plus.conf,https://raw.github.com/geany/geany-themes/master/screenshots/notepad-plus-plus.png
Oblivion 2,https://raw.github.com/geany/geany-themes/master/colorschemes/oblivion2.conf,https://raw.github.com/geany/geany-themes/master/screenshots/oblivion2.png
One Dark,https://raw.github.com/geany/geany-themes/master/colorschemes/one-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/one-dark.png
Pygments,https://raw.github.com/geany/geany-themes/master/colorschemes/pygments.conf,https://raw.github.com/geany/geany-themes/master/screenshots/pygments.png
Railcasts 2,https://raw.github.com/geany/geany-themes/master/colorschemes/railcasts2.conf,https://raw.github.com/geany/geany-themes/master/screenshots/railcasts2.png
Ralesk's MC,https://raw.github.com/geany/geany-themes/master/colorschemes/mc.conf,https://raw.github.com/geany/geany-themes/master/screenshots/mc.png
Retro,https://raw.github.com/geany/geany-themes/master/colorschemes/retro.conf,https://raw.github.com/geany/geany-themes/master/screenshots/retro.png
Sleepy Pastel,https://raw.github.com/geany/geany-themes/master/colorschemes/sleepy-pastel.conf,https://raw.github.com/geany/geany-themes/master/screenshots/sleepy-pastel.png
Slush and Poppies,https://raw.github.com/geany/geany-themes/master/colorschemes/slushpoppies.conf,https://raw.github.com/geany/geany-themes/master/screenshots/slushpoppies.png
Solarized (dark),https://raw.github.com/geany/geany-themes/master/colorschemes/solarized-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/solarized-dark.png
Solarized (light),https://raw.github.com/geany/geany-themes/master/colorschemes/solarized-light.conf,https://raw.github.com/geany/geany-themes/master/screenshots/solarized-light.png
Spyder Dark,https://raw.github.com/geany/geany-themes/master/colorschemes/spyder-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/spyder-dark.png
Steampunk,https://raw.github.com/geany/geany-themes/master/colorschemes/steampunk.conf,https://raw.github.com/geany/geany-themes/master/screenshots/steampunk.png
Tango,https://raw.github.com/geany/geany-themes/master/colorschemes/tango-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/tango-dark.png
Tango Light,https://raw.github.com/geany/geany-themes/master/colorschemes/tango-light.conf,https://raw.github.com/geany/geany-themes/master/screenshots/tango-light.png
Tinge,https://raw.github.com/geany/geany-themes/master/colorschemes/tinge.conf,https://raw.github.com/geany/geany-themes/master/screenshots/tinge.png
Ubuntu,https://raw.github.com/geany/geany-themes/master/colorschemes/ubuntu.conf,https://raw.github.com/geany/geany-themes/master/screenshots/ubuntu.png
Vibrant,https://raw.github.com/geany/geany-themes/master/colorschemes/vibrant-ink.conf,https://raw.github.com/geany/geany-themes/master/screenshots/vibrant-ink.png
Zenburn,https://raw.github.com/geany/geany-themes/master/colorschemes/zenburn.conf,https://raw.github.com/geany/geany-themes/master/screenshots/zenburn.png
grey8,https://raw.github.com/geany/geany-themes/master/colorschemes/grey8.conf,https://raw.github.com/geany/geany-themes/master/screenshots/grey8.png
